tweet_id,tweet_text
847720208739336192,RT @GameOfThroneFR: Video promotionnelle de la saison 7 !! https://t.co/ffxwFwthCc
847720208764555264,"RT @ArnaultChatel: Save the date : 18 Mai, les nouvelles frontières du Marketing Digital by @Viuzfr cc @marilyne_lacaze https://t.co/e8gn5H…"
847720209595088898,RT @RachDeVaincre: Laisse le petit se laver les mains https://t.co/wBekLKzWHk
847720210022801408,Sebico Assainissement non collectif https://t.co/gDgwbbKmk4
847720215903223808,Ce qu'est devenue la psychiatrie depuis le discours d'Antony (12/2008) une forme de trumpisation des murs plutôt qu… https://t.co/hSQA4XTqFW
847720221754376192,Aujourd'hui → Andre minvielle à Hyeres : https://t.co/m1Nh62Bb3l #Toulon #music #etl #imagedujour https://t.co/4eZkX7MtWf
847720196575907841,RT @OceaneBbcke: Twitter c'est magique https://t.co/1BUa87OAdc
847720213801914368,@PhilippeMurer @LeParisien_Eco Communistes !
847733074192244740,HIHI OUIIII https://t.co/YPS2bJaMjc
847733090969468928,"à 10:45: Temp: 14,7°C Hum: 51 % Pres: 1018,9 mbar Vent: 3,0 km/h S-SE Pluie: 0,0 mm Previsions : nuageux… https://t.co/20kOn4zRr7"
847720224686129153,Tous les événements DreamHack sont uniques! Retrouvez nos photos sur Flickr !  https://t.co/E1hDgLwxF2 https://t.co/NSxRysi0iF
847720246509060099,Si P5 arrive en avance c'est parfait
847720246504939521,RT @IP_Observer: Mobile Payment Patent Remains Legal Tender after Alice Challenge https://t.co/usqJuR91JV
847720246488080384,@fdht_ roh elle a le rythme ds la po cava --'
847720248602054657,"RT @RdBNantes: Lundi prochain, réunion publique autour du #revenudebase à @nantesfr https://t.co/9dK5MDue2d"
847720259108732929,RT @PPelouzet: Les entreprises françaises se préoccupent plus de leur impact sociétal. Lire @GiuGamberini ds @LaTribune https://t.co/5jsvgE…
847720285931319296,ui j'ai que ça a faire de tweeter.
847720262430711808,Décret n° 2016-1302 du 4 octobre 2016 relatif au soutien matériel et en personnel apporté aux anciens Présidents... https://t.co/w5iQrCBHO4
847720288867319808,L'homme poignardé à la gorge par son frère n'a pas survécu https://t.co/sHy7XoXGdg
847720268302737408,@JVF_TSU @jvfrance_com @JVF_Junan uniquement sous titré je crois?
847720294735257600,"RT @jeffwitten: 🗨️ @LucChatel ""Il y a un socle de votants pour @FrancoisFillon qui a résisté à l'adversité !"" #Les4V @telematin https://t.c…"
847720296849199105,- ptdddddrrr cst quoi ça 😭😭😭
847720298921078784,RT @gatjmv: Les Membres de l' @agpfrwanda1 se rejuissent de sa collaboration avc @EGAMofficial dont les Membres sont attendus a Kigali dura…
847720277945401345,J'ai crié fort tellement c'était drole 😂😂 https://t.co/nbYhrwWdUf
847720303950090240,@Armelle_LeComte @emmanuelpoilane quelle merde ce #poutine ce #Trump ils nous détruisent  notre terre.   Stoppez ces fous
847720303987802112,"@FFeth @Blouzouga Il semblerait qu'il s'agisse simplement de ""oktariin"" ¯\_(ツ)_/¯"
847733250357252097,RT @Weedzerr: jdis pas que c'est lui jdis juste qu'on les a jamais vu en même temps dans la même piece https://t.co/LUulgeVo0c
847720318235926530,@portailbasta Et sinon vous avez demandé la permission à la personne sur les photos de les diffuser ?
847720322832805888,RT @feukz: Ascenseur émotionnel https://t.co/BGwmsZKbOS
847720323684249600,"RT @MondeVeggie: « L’enfer n’existe pas pour les animaux, ils y sont déjà… » - Victor Hugo https://t.co/D4yvPEOozf"
847720450759073792,RT @RoadAesthetic: Mon problème c'est que j'ai strictement confiance en personne.
847720450763374592,RT @RoadAesthetic: Mon problème c'est que j'ai strictement confiance en personne.
847720451203710976,"RT @s_assbague: Donc selon Le Parisien, les manifs pour #ShaoyoLiu seraient infiltrées par...la mafia chinoise & des agents secrets  https:…"
847720452885585925,Ceux qui veulent peser mes couilles ou pisser sur ma dépouille après mon 12 ramasser les douilles allez tous tous niquer vos mères
847720329132691456,#Iwacu CNO : le compte à rebours a déjà  commencé… https://t.co/YxXuXovrsT #Burundi
847720329971548162,Tous au musée ce dimanche ! 👨‍👩‍👧‍👦 Car qui dit premier dimanche du mois... dit que les musées sont gratuits ! 🙌 👉… https://t.co/uIubvuVxhh
847720331657658368,Temp: 13.9°C Vent:4.8kmh Pression: 1021.45hpa Steady Humidite: 74% Pluie 0.0mm. info : https://t.co/uShcpF9uPA
847720458308829184,RT @Sgc62: Belle journée @LeilaBenKhalifa !Qui dit vendredi 31 dit #VTEP ! Alors Rendez vous sur @TF1 pour une belle soirée de soutien #Lei…
847720460842172416,Des oeuvres d-art uniques en petit format des idées-cadeaux originales Boutique Ellhëa https://t.co/69u92zCqun https://t.co/GsV59RRTb2 k
847720340037881856,"RT @TonyYoka: 2016 était l'année du couple en Or, 2017 sera celle du bebe en Or. 🙏🏾 👶🏽#legacy #newlife #baby#famille #goldenbaby #solide ht…"
847720340897710081,RT @ActuChelsea: [#Concours🎉] RT + Follow @ActuChelsea pour tenter de gagner un bon d'achat de 35€ sur https://t.co/Ih4clH8Gjr ! Tirage : 0…
847720468370956292,@Max_Cim_ @toinnnoouuu Je prépare le lit 👼🏻
847720482627502081,@SalimaDouzi @Dalton_5777 @ZionistHunter95 @Sunshineofclan @bacry8 @FelfelHarissa @glyglyCat Je suis un vermisseau… https://t.co/L6bxBWzSee
847720363106607104,"Kendrick revient mettre les choses en ordre dans le rap "" Game "". On dirait une entrée en jeu d'Iniesta.."
847720485173444608,RT @PuRe_Rays: Elle en parle avec une tel aisance que sa m'en vien meme a douter qu'être une pute en 2017 c'est devenu normal https://t.co/…
847733980149366785,Des étudiants ont acheté un vieux canapé pour environ 25€. Mais à l’intérieur ils découvrent un trésor inespéré.
847720490210795520,"RT @FFillon2017_45: ""pas d'aménagement du territoire sans reforme profonde du système de santé qu'il faut avant tout débureaucratiser"" @Fra…"
847720490185523201,A&B Nettoyage auto à Vaulx-en-Velin : Dégraissage des sièges en tissu: #VAULX-EN-VELIN 49.00€ au lieu de 60.00€…… https://t.co/Z9fX5fsJtC
847720492295266305,RT @louise_lnrd: @LiubaMillot merci liubizzzz😘
847720373579796480,""" La photographie, c'est ma façon de parler, de toucher "" https://t.co/4kO1EYTSzN"
847720829509001217,RT @Julien48L: Ça part sur un exam de régimes matrimoniaux dès 8h 😭😰Mais ce soir c'est casino avec mes gars @ClemBett_2 @AlbsR10 💶💶🔥🔥
847734252779077633,#ActuFR Ligue 1: Nancy en danger à Guingamp https://t.co/vEnwVS54Du https://t.co/Io5J42CjiO
847734256981884928,le sexe virtuel avec farrah https://t.co/Y5rfuKaM8S
847734261171933184,RT @lesinrocks: Progression fulgurante de Jean-Luc Mélenchon dans un nouveau sondage  https://t.co/ZWnSMyCrTm https://t.co/zDhwkzDH6U
847720840414101504,J'aime une vidéo @YouTube de @frederic_molas - CLUB JDG - LE PETIT CASTOR https://t.co/7s3BkRQj8y
847720956202106882,"RT @DossehLaFamine: Vous ne nous aimez pas, Ça tombe bien nous non plus"
