tweet_id,tweet_text
836490993079730178,@aemiell_ching Hay nakooo!! HAHAHA fbc daliii HAHAHA may kwento akecth 😂
836490997278228480,"guys pigilan niyo po si arwin, alcoholoc na"
836491009882148865,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836491014055440384,@verlegenpie @hcildaquinn /mati/gentayangin
836491022469230594,Papulia nyo lage ko 😭
836491039233957888,RT @McLisse_Cronies: Sila lang laman ng photos ko. Hahaha  #TWBAElisse https://t.co/DwAmwCIdnT
836491051795767296,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836491055998500865,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
836491056023654400,RT @HotFrancisjune: Hindi ka kapalit-palit. Di lang sila marunong magpahalaga. Hindi ka pangit. Mapanghusga lang sila. https://t.co/pNv9kT4…
836491076999446528,"RT @TheFlashOfUPLB: Sobrang daming pagsubok agad ng 2017 ko ah. Sorry, pagsubok ka lang. Si C-AN PUÑO ako! 💪🏾"
836491081185386496,Making ka Sa mommy angeli @OfficialLjReyes  #pklslgalit Ni angeli
836491089561333760,"RT @lizzzeyy: kung meron mang kulang sa buhay ko, ito ay tulog. sangkaterbang tulog!"
836491097970913280,@nikkitsuki medyo! 😂 Meron siyang webdrama tas parang bibu-bibo rin katulad ni eijun huhuhuhu pwEDE
836485452399964160,RT @WickedOne721: Kaya pala galit c Angeli! Kasi looking good 2gether sina Ephraim & Santina! Sorry not sorry hehe #PKLSLGalitNiAngeli http…
836485720848089088,Yebo Yebo wanamatatizo 😆 https://t.co/MceKcbT3Zs
836485951538933760,RT @immarkcoleta: Excited na ba kayo? #CantHelpFallingInLoveSoon 👍🏻👍🏻@imdanielpadilla ❤@bernardokath 🎬 https://t.co/3iE5Q9jBSG
836485951526322177,RT @armamascarinas: #MyExAndWhysFeverContinues   Ang samahang walang iwanan  #LizaSoberano #KCAPinoyStar https://t.co/4ohIKNQVx3
836485955741593602,@pokku_delegend hipster mano nyo kuih make ngan salad ngan lado. Aduuu abe dio
836485959910764544,RT @taengstagramcom: [INSTAGRAM STORY VIDEO] taeyeon_ss: 📀📀📀 https://t.co/TUNXUaUh2n #taengstagram https://t.co/BpJo65Yma8
836486043821977600,RT @WLJDAus: Ang sarap makipagkwentuhan sa inyo =)  AlwaysJaDine USATour2017 #NadineLustre #KCAPinoyStar https://t.co/BCSLIGxGWl
836486056413310976,RT @Joaniiix: @bebe143jump walang anuman bai! Mahal namin ang MW!  MARVOREE ChaTUEnayNaKilig
836486068962799617,Hahahaha nxa https://t.co/RbaTKOqYch
836496873510752256,RT @iluvmariethez: Mukhang masaya naman sila... hahahaha  BB MAYMAY to 2366 BB EDWARD to 2366 https://t.co/GatG5ACppd
836496919635570688,"RT @OfficialGMAHOA: ‘Yung kinuntsaba mo si bes para umarteng nag-eenjoy kayo, pero ang OA ng acting niya.  #PrettyWoman 022817 OHT:… "
836497397807108096,"RT @raiza_rosell: ""@immarkcoleta Excited na ba kayo? #CantHelpFallingInLoveSoon 👍🏻👍🏻@imdanielpadilla ❤@bernardokath 🎬… "
836497402001399808,"RT @maichardbaebee: Naka 100,022 times ko na nga naplay 🎶 on repeat mode on  #DTBYArchitectBenjie https://t.co/y5uPfA2E61"
836497481693179905,RT @taengstagramcom: [INSTAGRAM STORY VIDEO] taeyeon_ss: 😍 https://t.co/jLKEoP256g #taengstagram https://t.co/A7dVFh6wWN
836497523627843586,@klaretymontef magsaya tayo pag NO ang sagot jan..hahaha sampal na un sa kabila
836497548789477376,@yunnobuenno chers. Maaga pa tutulog pa me. 😆
836497636882534400,RT @vivoreeangelofc: Mukhang may pinaghahandaan ang girls! Ano kaya yun? 😉  📷 Baninay Bautista IG Story https://t.co/Wx2Bw1terp
836497687222480896,RT @BTS_twt: JM + JK #RM https://t.co/vX7TNMok5I
